1	7
2	6
39	52
39	60
39	72
39	73
40	47
40	57
40	63
40	68
41	69
41	74
41	77
42	43
42	58
42	62
42	64
42	67
43	58
43	62
43	64
43	67
44	49
44	54
44	78
44	79
44	80
44	82
45	55
45	56
45	61
45	66
47	57
47	63
47	68
49	54
49	78
49	79
49	80
49	82
52	60
52	72
52	73
54	78
54	79
54	80
54	82
55	56
55	61
55	66
56	61
56	66
57	63
57	68
58	62
58	64
58	67
59	70
60	72
60	73
61	66
62	64
62	67
63	68
64	67
69	74
69	77
72	73
74	77
78	79
78	80
78	82
79	80
79	82
80	82
569	49147
576	48656
579	49356
588	55404
593	76514
596	1012
597	45364
598	49729
622	49173
623	49272
633	49385
636	49323
644	49498
649	4335
649	4499
649	5456
680	40945
682	45187
683	45206
684	43505
687	24509
694	44619
697	75360
711	45420
725	43265
729	43531
745	45443
752	45085
768	44098
769	49631
771	44932
779	49503
783	49329
786	49099
787	796
787	1166
787	24549
792	76255
796	1166
796	24549
799	76416
807	49637
824	45199
830	49232
837	49229
849	49509
866	45402
869	45072
880	48746
885	45036
892	45095
894	49421
895	49068
902	49655
906	42886
910	55729
942	48934
951	43014
969	24378
980	43514
981	43626
989	76388
992	49648
1006	76304
1010	76459
1025	49227
1028	76049
1031	44656
1033	50316
1038	48799
1047	50424
1050	49647
1051	50147
1056	49360
1067	50315
1073	50170
1082	43262
1100	50035
1102	43970
1106	49488
1117	76130
1118	50146
1121	48965
1123	1848
1123	4013
1123	24643
1134	44937
1142	50071
1143	50048
1149	76417
1151	76647
1166	24549
1175	44012
1203	4435
1205	48793
1206	42371
1207	49581
1213	49617
1216	77678
1221	3340
1221	6542
1221	76053
1222	43379
1233	76464
1234	76432
1242	50393
1246	50157
1248	50015
1251	50029
1273	50445
1299	50416
1318	50254
1319	50398
1320	50045
1323	50066
1324	49936
1332	50256
1339	50434
1352	50419
1357	50103
1365	50076
1370	50113
1376	50391
1377	50437
1381	50205
1386	50196
1413	50192
1421	50082
1429	50107
1436	50247
1444	50432
1449	50405
1460	50224
1468	50309
1490	50415
1491	49987
1544	50027
1545	50074
1546	50287
1556	50426
1560	50295
1579	50226
1581	50165
1598	50003
1602	45088
1607	49395
1614	43506
1618	49659
1622	75351
1630	40988
1633	40987
1637	46353
1638	46241
1644	76482
1650	1655
1650	4591
1650	4604
1650	4609
1655	4591
1655	4604
1655	4609
1658	40976
1659	40980
1660	40985
1689	5212
1690	5179
1691	5284
1695	5115
1696	5112
1698	5132
1699	5213
1700	5316
1702	5170
1703	5228
1704	5343
1706	5169
1707	5217
1708	5113
